File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\x509_csr.h,299,72,36,0,31,14,196,1077,22,128
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls\xtea.h,140,50,11,0,19,6,71,326,22,125
E:\LiberoProjects\HSM\HSM\mbedtls\library\aes.c,1493,1145,434,104,215,20,133,389,26,138
E:\LiberoProjects\HSM\HSM\mbedtls\library\aesni.c,465,302,38,8,49,102,114,806,24,125
E:\LiberoProjects\HSM\HSM\mbedtls\library\aes_alt.c,287,195,93,34,43,9,49,221,26,138
E:\LiberoProjects\HSM\HSM\mbedtls\library\arc4.c,206,125,72,13,41,5,40,185,25,134
E:\LiberoProjects\HSM\HSM\mbedtls\library\asn1parse.c,394,266,136,90,91,2,37,211,20,118
E:\LiberoProjects\HSM\HSM\mbedtls\library\asn1write.c,391,265,162,63,84,2,42,224,20,119
E:\LiberoProjects\HSM\HSM\mbedtls\library\base64.c,294,199,94,45,58,5,37,215,20,119
E:\LiberoProjects\HSM\HSM\mbedtls\library\bignum.c,2448,1576,944,372,506,10,366,1444,35,170
E:\LiberoProjects\HSM\HSM\mbedtls\library\blowfish.c,657,542,157,37,69,6,46,203,26,135
E:\LiberoProjects\HSM\HSM\mbedtls\library\camellia.c,1073,823,391,77,160,32,90,372,26,135
E:\LiberoProjects\HSM\HSM\mbedtls\library\ccm.c,465,273,146,55,82,4,110,511,28,147
E:\LiberoProjects\HSM\HSM\mbedtls\library\certs.c,351,305,62,0,24,5,22,145,20,118
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,918,658,300,187,174,20,86,455,24,134
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,1452,1255,327,60,170,41,27,239,24,134
E:\LiberoProjects\HSM\HSM\mbedtls\library\cmac.c,1075,777,316,101,143,13,155,800,40,199
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,595,386,215,66,116,5,93,369,25,139
E:\LiberoProjects\HSM\HSM\mbedtls\library\debug.c,369,266,126,38,70,6,33,220,20,117
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,1062,781,328,80,163,14,118,393,26,151
E:\LiberoProjects\HSM\HSM\mbedtls\library\dhm.c,628,381,201,88,125,5,122,546,28,154
E:\LiberoProjects\HSM\HSM\mbedtls\library\ecdh.c,265,146,69,46,50,1,69,264,26,128
E:\LiberoProjects\HSM\HSM\mbedtls\library\ecdsa.c,449,269,154,34,75,2,105,475,25,125
E:\LiberoProjects\HSM\HSM\mbedtls\library\ecjpake.c,1104,757,354,69,181,15,166,818,24,139
E:\LiberoProjects\HSM\HSM\mbedtls\library\ecp.c,2217,1311,751,263,351,24,555,3141,40,223
E:\LiberoProjects\HSM\HSM\mbedtls\library\ecp_curves.c,1326,975,376,54,157,78,194,1309,20,123
E:\LiberoProjects\HSM\HSM\mbedtls\library\entropy.c,656,447,214,89,122,14,87,534,20,118
E:\LiberoProjects\HSM\HSM\mbedtls\library\entropy_poll.c,269,182,81,40,56,10,31,229,20,121
E:\LiberoProjects\HSM\HSM\mbedtls\library\error.c,708,592,221,206,82,31,34,228,20,118
E:\LiberoProjects\HSM\HSM\mbedtls\library\gcm.c,953,734,344,116,153,5,66,406,29,157
E:\LiberoProjects\HSM\HSM\mbedtls\library\havege.c,246,165,46,8,31,1,50,274,27,145
E:\LiberoProjects\HSM\HSM\mbedtls\library\hmac_drbg.c,530,323,171,54,97,11,110,534,25,145
E:\LiberoProjects\HSM\HSM\mbedtls\library\md.c,472,345,159,99,98,2,29,168,24,135
E:\LiberoProjects\HSM\HSM\mbedtls\library\md2.c,289,197,89,17,47,6,45,193,26,137
E:\LiberoProjects\HSM\HSM\mbedtls\library\md4.c,385,276,171,14,61,6,48,201,26,137
E:\LiberoProjects\HSM\HSM\mbedtls\library\md5.c,405,293,187,14,65,6,47,199,25,135
E:\LiberoProjects\HSM\HSM\mbedtls\library\md_wrap.c,576,443,150,14,106,8,27,158,24,135
E:\LiberoProjects\HSM\HSM\mbedtls\library\memory_buffer_alloc.c,746,566,305,90,138,5,42,242,20,118
E:\LiberoProjects\HSM\HSM\mbedtls\library\net_sockets.c,587,405,179,96,99,6,83,464,20,120
E:\LiberoProjects\HSM\HSM\mbedtls\library\oid.c,711,585,238,27,49,37,77,392,22,125
E:\LiberoProjects\HSM\HSM\mbedtls\library\padlock.c,171,109,38,6,27,2,35,157,26,136
E:\LiberoProjects\HSM\HSM\mbedtls\library\pem.c,450,316,177,64,85,13,49,291,20,120
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk.c,384,242,98,88,67,4,75,265,20,119
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs11.c,241,161,83,39,46,1,34,165,24,133
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs12.c,366,251,137,61,74,2,41,213,26,136
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkcs5.c,407,271,136,78,79,3,57,235,30,144
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkparse.c,1294,831,384,252,202,22,261,1226,20,124
E:\LiberoProjects\HSM\HSM\mbedtls\library\pkwrite.c,440,263,118,38,74,10,103,591,20,124
E:\LiberoProjects\HSM\HSM\mbedtls\library\pk_wrap.c,514,387,138,57,95,17,32,217,20,121
E:\LiberoProjects\HSM\HSM\mbedtls\library\platform.c,308,212,93,28,51,20,45,262,20,118
E:\LiberoProjects\HSM\HSM\mbedtls\library\ripemd160.c,468,358,202,14,59,5,51,205,25,133
E:\LiberoProjects\HSM\HSM\mbedtls\library\rsa.c,1731,1163,604,282,329,24,239,1106,32,177
E:\LiberoProjects\HSM\HSM\mbedtls\library\sha1.c,449,328,208,15,71,6,50,199,25,133
E:\LiberoProjects\HSM\HSM\mbedtls\library\sha256.c,459,331,160,27,73,8,55,216,25,135
E:\LiberoProjects\HSM\HSM\mbedtls\library\sha256_alt.c,144,66,29,7,22,4,56,314,25,135
E:\LiberoProjects\HSM\HSM\mbedtls\library\sha512.c,515,384,164,23,73,8,58,220,25,135
E:\LiberoProjects\HSM\HSM\mbedtls\library\ssl_cache.c,327,228,109,34,56,9,43,225,24,137
E:\LiberoProjects\HSM\HSM\mbedtls\library\ssl_ciphersuites.c,1857,1625,220,33,177,242,55,805,22,126
E:\LiberoProjects\HSM\HSM\mbedtls\library\ssl_cli.c,3406,2420,1260,446,549,70,437,1821,20,118
E:\LiberoProjects\HSM\HSM\mbedtls\library\ssl_cookie.c,261,171,66,37,47,1,43,232,24,137
E:\LiberoProjects\HSM\HSM\mbedtls\library\ssl_srv.c,3927,2825,1467,581,632,80,470,2347,20,118
E:\LiberoProjects\HSM\HSM\mbedtls\library\ssl_ticket.c,490,323,162,77,91,7,76,365,20,120
E:\LiberoProjects\HSM\HSM\mbedtls\library\ssl_tls.c,7687,5580,2791,1015,1196,143,911,5007,28,145
E:\LiberoProjects\HSM\HSM\mbedtls\library\threading.c,138,82,42,13,24,3,32,152,20,118
E:\LiberoProjects\HSM\HSM\mbedtls\library\timing.c,526,351,170,54,119,19,56,405,20,122
E:\LiberoProjects\HSM\HSM\mbedtls\library\version.c,51,23,6,1,8,1,20,119,20,117
E:\LiberoProjects\HSM\HSM\mbedtls\library\version_features.c,648,617,10,8,11,198,20,514,20,118
E:\LiberoProjects\HSM\HSM\mbedtls\library\x509.c,1099,701,368,213,209,9,189,825,30,156
E:\LiberoProjects\HSM\HSM\mbedtls\library\x509write_crt.c,460,309,174,43,84,6,67,283,26,146
E:\LiberoProjects\HSM\HSM\mbedtls\library\x509write_csr.c,260,169,87,24,50,2,41,189,25,139
E:\LiberoProjects\HSM\HSM\mbedtls\library\x509_create.c,341,232,141,31,56,1,53,246,20,123
E:\LiberoProjects\HSM\HSM\mbedtls\library\x509_crl.c,724,477,254,116,123,3,124,471,30,155
E:\LiberoProjects\HSM\HSM\mbedtls\library\x509_crt.c,2404,1653,855,451,402,15,349,1536,30,154
E:\LiberoProjects\HSM\HSM\mbedtls\library\x509_csr.c,424,255,137,54,71,3,98,387,30,155
E:\LiberoProjects\HSM\HSM\mbedtls\library\xtea.c,282,193,98,21,50,7,39,180,20,122
